sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,obd_trips_td,obd_trips_27,diary_trips_td,gps_complete,diary_complete,obd_complete,gps_obd_diary_complete,gps_diary_complete,gps_diary_obd_diary_complete,deldateid,nsdeliverable,cec_sample,geom
1031985,6095,10.0,2,1,2012-05-01 00:00:00,0,0,2,23,2,0,1,1,0,0,1,5,1,,REDACTED
1129387,6037,3.0,2,2,2012-04-24 00:00:00,11,20,17,69,20,0,1,1,0,0,1,5,1,,REDACTED
2396813,6067,,2,2,2012-09-28 00:00:00,8,27,14,97,17,0,1,1,0,0,1,5,1,1.0,REDACTED
2232422,6081,12.0,1,1,2012-07-02 00:00:00,0,0,0,13,0,1,1,1,1,1,1,3,1,,REDACTED
1038404,6107,22.0,2,2,2012-05-06 00:00:00,2,69,2,59,2,1,1,1,1,1,1,2,1,,REDACTED
1039341,6073,14.0,3,1,2012-05-03 00:00:00,3,25,0,0,4,1,1,0,0,1,1,2,1,,REDACTED
1041948,6073,14.0,2,1,2012-05-04 00:00:00,0,0,3,30,2,0,1,1,0,0,1,5,1,,REDACTED
1042241,6037,3.0,1,1,2012-05-24 00:00:00,3,17,3,16,2,1,1,1,1,1,1,2,1,,REDACTED
1045672,6013,6.0,3,3,2012-05-04 00:00:00,4,55,13,60,4,1,1,1,1,1,1,4,1,,REDACTED
1050315,6065,4.0,1,1,2012-05-05 00:00:00,8,4,7,4,3,1,1,1,1,1,1,2,1,,REDACTED
1050668,6111,3.0,2,2,2012-05-04 00:00:00,2,42,2,37,2,1,1,1,1,1,1,2,1,,REDACTED
1051388,6075,11.0,2,2,2012-05-01 00:00:00,0,0,8,56,10,0,1,1,0,0,1,5,1,,REDACTED
1053915,6023,20.0,2,1,2012-05-13 00:00:00,0,0,0,0,0,1,1,1,1,1,1,2,1,,REDACTED
1055989,6077,24.0,2,2,2012-05-24 00:00:00,8,20,0,15,4,1,1,0,0,1,1,2,1,,REDACTED
1056785,6059,2.0,3,3,2012-05-10 00:00:00,10,75,10,74,10,1,1,1,1,1,1,2,1,,REDACTED
1058112,6077,24.0,2,1,2012-08-03 00:00:00,0,0,0,0,0,1,1,1,1,1,1,3,1,,REDACTED
1119016,6085,13.0,2,2,2012-05-19 00:00:00,5,31,2,69,5,1,1,1,1,1,1,3,1,,REDACTED
1119207,6073,14.0,2,2,2012-03-16 00:00:00,7,55,5,48,17,1,1,1,1,1,1,1,1,,REDACTED
1119231,6065,4.0,2,2,2012-03-20 00:00:00,11,53,7,54,7,1,1,1,1,1,1,3,1,,REDACTED
1119626,6037,3.0,2,2,2012-02-27 00:00:00,4,38,5,37,4,1,1,1,1,1,1,1,1,,REDACTED
1119973,6017,15.0,2,2,2012-05-16 00:00:00,3,35,3,40,3,1,1,1,1,1,1,2,1,,REDACTED
1120441,6085,13.0,4,2,2012-02-01 00:00:00,0,14,4,43,2,0,1,1,0,0,1,5,1,,REDACTED
1120621,6109,29.0,4,2,2012-02-01 00:00:00,9,21,10,42,7,1,1,1,1,1,1,1,1,,REDACTED
1120672,6059,2.0,2,1,2012-07-04 00:00:00,5,27,5,25,5,1,1,1,1,1,1,3,1,,REDACTED
1121840,6073,14.0,1,1,2012-05-14 00:00:00,10,25,11,45,11,1,1,1,1,1,1,2,1,,REDACTED
