sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
1038404,1,1,2,2,0,0,0,0
1038404,2,1,0,0,0,0,0,0
1039341,1,1,3,4,-1,1,0,0
1042241,1,1,3,2,1,1,2,2
1045672,1,1,3,2,1,0,1,1
1045672,2,1,0,0,0,0,0,0
1045672,3,1,1,2,-1,1,0,0
1050315,1,1,8,3,5,0,5,5
1050668,1,1,2,2,0,0,0,0
1050668,2,1,0,0,0,0,0,0
1053915,1,1,0,0,0,0,0,0
1055989,1,1,8,4,4,0,4,3
1055989,2,1,0,0,0,0,0,0
1056785,1,1,2,2,0,0,0,0
1056785,2,1,8,8,0,0,0,0
1056785,3,1,0,0,0,0,0,0
1058112,2,1,0,0,0,0,0,0
1119016,1,1,0,0,0,0,0,0
1119016,2,1,5,5,0,0,0,0
1119207,1,1,7,17,-10,10,0,0
1119207,2,1,0,0,0,0,0,0
1119231,1,1,8,7,1,0,1,1
1119626,1,1,0,0,0,0,0,0
1119626,2,1,4,4,0,0,0,0
1119973,1,1,0,0,0,0,0,0
1119973,2,1,3,3,0,0,0,0
1120621,1,1,0,0,0,0,0,0
1120621,2,1,9,7,2,0,2,2
1120672,1,1,5,5,0,0,0,0
1121840,1,1,10,11,-1,1,0,0
1122024,1,1,5,4,1,0,1,1
1122024,2,1,7,5,2,0,2,2
1122024,3,1,6,6,0,0,0,0
1122777,1,1,6,6,0,0,0,0
1122777,2,1,0,0,0,0,0,0
1123623,1,1,4,3,1,0,1,1
1123623,2,1,0,0,0,0,0,0
1123798,1,1,5,5,0,0,0,0
1123798,2,1,4,4,0,0,0,0
1123874,1,1,0,0,0,0,0,0
1123874,2,1,0,0,0,0,0,0
1124301,1,1,0,0,0,0,0,0
1124343,1,1,0,0,0,0,0,0
1124343,2,1,0,0,0,0,0,0
1124453,1,1,5,5,0,0,0,0
1124453,2,1,5,5,0,0,0,0
1124453,3,1,0,0,0,0,0,0
1124983,1,1,0,0,0,0,0,0
1124983,2,1,0,0,0,0,0,0
1126293,1,1,3,2,1,0,1,1
1126501,1,1,2,2,0,0,0,0
1126501,2,1,4,4,0,0,0,0
1126605,1,1,2,2,0,0,0,0
1126605,2,1,10,10,0,0,0,0
1126849,1,1,3,3,0,0,0,0
1127133,1,1,10,6,4,0,4,4
1127294,1,1,8,8,0,0,0,0
1127492,1,1,5,2,3,0,3,3
1128248,2,1,0,0,0,0,0,0
1128248,3,1,14,13,1,2,3,3
1128379,1,1,2,2,0,0,0,0
1128379,2,1,5,5,0,0,0,0
1128956,1,1,9,6,3,0,3,3
1129118,1,1,4,3,1,0,1,1
1129118,2,1,11,8,3,0,3,3
1129118,3,1,13,12,1,0,1,1
1129134,2,1,6,4,2,0,2,2
1129619,1,1,0,0,0,0,0,0
1129619,2,1,0,0,0,0,0,0
1130096,1,1,10,9,1,0,1,1
1130096,2,1,8,7,1,3,4,3
1130232,1,1,7,9,-2,2,0,0
1130319,1,1,4,4,0,0,0,0
1131986,1,1,6,6,0,1,1,0
1132372,1,1,7,8,-1,2,2,2
1132372,2,1,0,0,0,0,0,0
1132952,1,1,0,0,0,0,0,0
1132952,2,1,13,7,6,0,6,6
1132952,3,1,8,7,1,0,1,1
1133768,1,1,0,0,0,0,0,0
1133768,2,1,6,4,2,0,2,2
1133768,3,1,0,0,0,0,0,0
1134112,2,1,9,6,3,0,3,3
1134675,1,1,4,4,0,0,0,0
1134675,2,1,5,4,1,0,1,1
1135474,1,1,8,11,-3,3,0,0
1135474,2,1,0,0,0,0,0,0
1135474,3,1,0,0,0,0,0,0
1136575,1,1,4,4,0,0,0,0
1137262,1,1,8,10,-2,3,1,1
1137262,2,1,4,4,0,0,0,0
1137279,1,1,0,0,0,0,0,0
1137279,2,1,0,0,0,0,0,0
1137279,3,1,0,0,0,0,0,0
1138332,1,1,0,0,0,0,0,0
1138332,2,1,3,2,1,0,1,1
1138345,1,1,6,6,0,0,0,0
1138345,2,1,0,0,0,0,0,0
1138411,2,1,2,2,0,0,0,0
1138558,2,1,0,0,0,0,0,0
1139518,1,1,0,0,0,0,0,0
1139518,2,1,0,0,0,0,0,0
1140389,1,1,10,10,0,0,0,0
1140389,2,1,16,11,5,0,5,3
