sampno,vehno,trip,startplace,endplace,startgpsplaceid,endgpsplaceid,newgpslist
1038404,1,1.0,REDACTED,REDACTED,1.0,2.0,
2462115,3,1.0,REDACTED,REDACTED,1.0,2.0,
2479767,1,1.0,REDACTED,REDACTED,1.0,3.0,2
2564381,2,1.0,REDACTED,REDACTED,1.0,2.0,
2595892,1,1.0,REDACTED,REDACTED,,,
2595892,1,2.0,REDACTED,REDACTED,,,
7188018,2,6.0,REDACTED,REDACTED,6.0,7.0,
7188069,2,6.0,REDACTED,REDACTED,6.0,7.0,
1038404,1,2.0,REDACTED,REDACTED,2.0,3.0,
1039341,1,1.0,REDACTED,REDACTED,,,
1039341,1,2.0,REDACTED,REDACTED,1.0,2.0,
1039341,1,3.0,REDACTED,REDACTED,2.0,3.0,
1039341,1,4.0,REDACTED,REDACTED,3.0,4.0,
1042241,1,1.0,REDACTED,REDACTED,,,
1042241,1,2.0,REDACTED,REDACTED,1.0,2.0,
1042241,1,999.0,REDACTED,REDACTED,2.0,4.0,"3, 4"
1045672,1,-999.0,REDACTED,REDACTED,3.0,4.0,3
1045672,1,1.0,REDACTED,REDACTED,4.0,5.0,
1045672,1,2.0,REDACTED,REDACTED,5.0,6.0,
1045672,3,1.0,REDACTED,REDACTED,,,
1045672,3,2.0,REDACTED,REDACTED,1.0,2.0,
1050315,1,1.0,REDACTED,REDACTED,1.0,2.0,
1050315,1,2.0,REDACTED,REDACTED,2.0,3.0,
1050315,1,3.0,REDACTED,REDACTED,3.0,6.0,"4, 5"
1050315,1,999.0,REDACTED,REDACTED,6.0,9.0,"7, 8, 9"
1050668,1,1.0,REDACTED,REDACTED,1.0,2.0,
1050668,1,2.0,REDACTED,REDACTED,2.0,3.0,
1055989,1,1.0,REDACTED,REDACTED,1.0,2.0,
1055989,1,1.5,REDACTED,REDACTED,2.0,3.0,
1055989,1,2.0,REDACTED,REDACTED,3.0,4.0,
1055989,1,3.0,REDACTED,REDACTED,4.0,5.0,
1055989,1,4.0,REDACTED,REDACTED,5.0,7.0,6
1055989,1,999.0,REDACTED,REDACTED,7.0,9.0,"8, 9"
1056785,1,1.0,REDACTED,REDACTED,1.0,2.0,
1056785,1,2.0,REDACTED,REDACTED,2.0,3.0,
1056785,2,1.0,REDACTED,REDACTED,1.0,2.0,
1056785,2,2.0,REDACTED,REDACTED,2.0,3.0,
1056785,2,3.0,REDACTED,REDACTED,3.0,4.0,
1056785,2,4.0,REDACTED,REDACTED,4.0,5.0,
1056785,2,5.0,REDACTED,REDACTED,5.0,6.0,
1056785,2,6.0,REDACTED,REDACTED,6.0,7.0,
1056785,2,7.0,REDACTED,REDACTED,7.0,8.0,
1056785,2,8.0,REDACTED,REDACTED,8.0,9.0,
1119016,2,1.0,REDACTED,REDACTED,1.0,2.0,
1119016,2,2.0,REDACTED,REDACTED,2.0,3.0,
1119016,2,3.0,REDACTED,REDACTED,3.0,4.0,
1119016,2,4.0,REDACTED,REDACTED,4.0,5.0,
1119016,2,5.0,REDACTED,REDACTED,5.0,6.0,
1119207,1,1.0,REDACTED,REDACTED,,,
1119207,1,2.0,REDACTED,REDACTED,,,
1119207,1,3.0,REDACTED,REDACTED,,,
1119207,1,4.0,REDACTED,REDACTED,,,
1119207,1,5.0,REDACTED,REDACTED,,,
1119207,1,6.0,REDACTED,REDACTED,,,
1119207,1,7.0,REDACTED,REDACTED,,,
1119207,1,8.0,REDACTED,REDACTED,,,
1119207,1,9.0,REDACTED,REDACTED,,,
1119207,1,10.0,REDACTED,REDACTED,,,
