sampno,vehno,vin,veh_type,veh_type_other,fuel_type,fuel_type2,fuel_type_obd,license_plate,start_odometer,diarytripsday1,gpstripsday1,obdtripsday1,gpstripsday2,obdtripsday2,gpstripsday3,obdtripsday3,gpstripsday4,obdtripsday4,gpstripsday5,obdtripsday5,gpstripsday6,obdtripsday6,gpstripsday7,obdtripsday7,totalgpstrips,totalobdtrips,geom
1058112,2,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1159714,3,REDACTED,2,,1,,0,REDACTED,,4,0,6,0,0,0,1,0,3,0,2,0,1,0,2,0,15,REDACTED
2162726,2,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
2388313,1,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1031985,1,REDACTED,2,,1,,0,REDACTED,81958,2,0,2,0,5,0,5,0,0,0,5,0,2,0,6,0,25,REDACTED
1038404,2,REDACTED,2,,1,,0,REDACTED,37814,0,0,0,2,2,0,0,0,0,0,1,0,3,0,0,2,6,REDACTED
1038404,1,REDACTED,2,,1,,0,REDACTED,58429,2,2,2,15,10,5,6,8,5,16,10,15,15,8,7,69,55,REDACTED
1039341,1,REDACTED,2,,1,,,REDACTED,049531,4,3,0,2,0,7,0,2,0,7,0,2,0,5,0,28,0,REDACTED
1041948,2,REDACTED,2,,1,,0,REDACTED,52844,2,0,3,0,7,0,5,0,3,0,5,0,4,0,6,0,33,REDACTED
1042241,1,REDACTED,2,,1,,0,REDACTED,195866,2,3,3,6,6,11,9,0,1,0,0,0,0,0,0,20,19,REDACTED
1045672,3,REDACTED,2,,1,,0,REDACTED,114809,2,1,8,11,10,7,7,4,5,4,5,2,3,0,1,29,39,REDACTED
1045672,2,REDACTED,1,,1,,0,REDACTED,7335,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,4,4,REDACTED
1045672,1,REDACTED,1,,1,,0,REDACTED,40803,2,3,5,10,10,4,6,5,4,2,3,2,2,0,0,26,30,REDACTED
1050315,1,REDACTED,2,,1,,0,REDACTED,63431,3,8,7,0,1,4,3,0,0,0,0,0,0,0,0,12,11,REDACTED
1050668,2,REDACTED,2,,1,,0,REDACTED,,0,0,0,8,5,0,0,8,6,2,2,4,3,4,3,26,19,REDACTED
1050668,1,REDACTED,2,,1,,0,REDACTED,,2,2,2,4,6,4,3,2,3,4,2,2,4,0,0,18,20,REDACTED
1051388,2,REDACTED,2,,1,,0,REDACTED,6357,2,0,2,0,9,0,1,0,6,0,3,0,0,0,0,0,21,REDACTED
1051388,1,REDACTED,2,,1,,0,REDACTED,44284,8,0,6,0,5,0,8,0,10,0,11,0,3,0,0,0,43,REDACTED
1053915,1,REDACTED,2,,1,,,REDACTED,54590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1055989,2,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1055989,1,REDACTED,2,,1,,0,REDACTED,,4,8,0,7,4,3,3,0,0,6,5,0,0,4,3,28,15,REDACTED
1056785,3,REDACTED,2,,1,,0,REDACTED,129935,0,0,0,5,4,0,1,3,4,3,3,1,1,0,2,12,15,REDACTED
1056785,2,REDACTED,2,,1,,0,REDACTED,66525,8,8,8,6,6,2,2,6,5,7,8,14,13,7,7,50,49,REDACTED
1056785,1,REDACTED,2,,1,,0,REDACTED,81560,2,2,2,5,4,3,3,2,2,5,4,3,2,3,3,23,20,REDACTED
1119016,2,REDACTED,2,,1,,0,REDACTED,not provided,5,5,1,0,2,2,4,7,6,5,8,6,6,11,9,36,36,REDACTED
1119016,1,REDACTED,2,,1,,0,REDACTED,not provided,0,0,1,0,12,0,5,0,6,0,2,0,4,0,5,0,35,REDACTED
1119207,2,REDACTED,2,,1,,0,REDACTED,,0,0,0,2,3,1,1,3,3,1,1,1,3,2,3,10,14,REDACTED
1119207,1,REDACTED,2,,1,,0,REDACTED,,17,7,5,2,3,1,2,3,1,13,10,11,7,15,11,52,39,REDACTED
1119231,2,REDACTED,2,,1,,0,REDACTED,136492,0,3,3,2,1,5,4,5,5,4,4,5,2,3,4,27,23,REDACTED
1119231,1,REDACTED,2,,1,,0,REDACTED,119627,7,8,4,6,4,9,10,4,5,3,3,3,8,4,4,37,38,REDACTED
1119626,2,REDACTED,2,,1,,0,REDACTED,83141,4,4,5,2,2,2,2,8,8,2,2,4,4,2,2,24,25,REDACTED
1119626,1,REDACTED,2,,1,,0,REDACTED,93298,0,0,0,3,3,6,5,4,4,2,2,3,3,0,0,18,17,REDACTED
1119973,2,REDACTED,2,,1,,0,REDACTED,120022,3,3,3,3,3,0,0,0,0,0,0,0,2,1,4,7,12,REDACTED
1119973,1,REDACTED,2,,1,,0,REDACTED,131203,0,0,0,4,4,5,4,5,4,3,5,5,5,9,9,31,31,REDACTED
1120441,2,REDACTED,2,,1,,0,REDACTED,,2,0,4,0,7,0,4,0,5,0,0,0,5,0,8,0,33,REDACTED
1120441,1,REDACTED,2,,1,,0,REDACTED,,0,0,0,4,4,2,2,0,0,0,0,3,3,5,5,14,14,REDACTED
1120621,2,REDACTED,2,,1,,0,REDACTED,112778,7,9,9,2,2,2,2,0,3,0,3,0,2,0,5,13,26,REDACTED
1120621,1,REDACTED,2,,1,,0,REDACTED,168228,0,0,1,13,9,4,4,0,0,0,0,0,7,0,5,17,26,REDACTED
1120672,1,REDACTED,2,,1,,0,REDACTED,151546,5,5,5,2,2,2,2,12,8,1,2,3,4,7,7,32,30,REDACTED
1121840,1,REDACTED,2,,1,,0,REDACTED,91531,11,10,11,7,7,11,8,7,10,0,8,0,7,0,5,35,56,REDACTED
1122024,3,REDACTED,2,,1,,0,REDACTED,40404,6,6,6,6,6,0,0,0,0,5,4,9,5,7,7,33,28,REDACTED
1122024,2,REDACTED,2,,1,,0,REDACTED,54432,5,7,5,2,3,0,7,0,3,0,6,0,11,0,6,9,41,REDACTED
1122024,1,REDACTED,2,,1,,0,REDACTED,92545,4,5,3,2,3,0,0,0,0,4,4,4,4,4,4,19,18,REDACTED
1122777,2,REDACTED,2,,1,,0,REDACTED,159509,0,0,0,7,6,0,0,2,1,6,7,0,0,0,1,15,15,REDACTED
1122777,1,REDACTED,2,,1,,,REDACTED,156617,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,REDACTED
1123623,2,REDACTED,1,,1,,,REDACTED,18569,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,9,0,REDACTED
1123623,1,REDACTED,1,,1,,0,REDACTED,117885,3,4,4,0,0,0,0,2,2,0,0,3,3,4,4,13,13,REDACTED
1123798,2,REDACTED,2,,1,,0,REDACTED,226722,4,4,7,2,3,4,5,0,3,6,7,0,0,0,2,16,27,REDACTED
1123798,1,REDACTED,2,,1,,1,REDACTED,84784,5,5,5,4,3,3,4,4,4,9,5,13,13,9,9,47,43,REDACTED
1123874,2,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1123874,1,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1124301,1,REDACTED,2,,1,,0,REDACTED,,0,0,0,0,0,3,2,0,10,0,4,0,3,0,7,3,26,REDACTED
1124343,2,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1124343,1,REDACTED,2,,1,,,REDACTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REDACTED
1124453,3,REDACTED,2,,1,,0,REDACTED,6B58866,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,REDACTED
1124453,2,REDACTED,7,FLEX FUEL,7,,0,REDACTED,13468,5,5,5,0,0,2,2,0,0,6,6,6,6,10,9,29,28,REDACTED
1124453,1,REDACTED,2,,1,,0,REDACTED,165847,5,5,4,9,6,4,6,2,2,4,2,6,4,0,1,30,25,REDACTED
1124983,2,REDACTED,2,,1,,0,REDACTED,52758,0,0,0,4,2,6,5,3,2,4,3,7,8,6,6,30,26,REDACTED
1124983,1,REDACTED,2,,1,,0,REDACTED,35464,0,0,0,4,3,3,3,3,3,4,4,0,0,0,0,14,13,REDACTED
1126293,1,REDACTED,2,,1,,0,REDACTED,,2,3,0,10,8,3,8,6,6,5,5,6,5,8,6,41,38,REDACTED
1126501,2,REDACTED,2,,1,,0,REDACTED,57491,4,4,7,5,5,3,3,3,4,3,5,5,4,4,4,27,32,REDACTED
1126501,1,REDACTED,2,,1,,0,REDACTED,167657,2,2,3,8,8,2,3,6,5,0,0,8,8,5,4,31,31,REDACTED
1126605,2,REDACTED,2,,1,,0,REDACTED,133933,10,10,9,2,3,2,2,7,7,2,2,4,2,2,3,29,28,REDACTED
1126605,1,REDACTED,2,,1,,,REDACTED,99651,2,2,0,0,0,0,0,9,0,13,0,0,0,0,0,24,0,REDACTED
1755363,2,REDACTED,2,,1,,0,REDACTED,35060,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,6,REDACTED
1126849,1,REDACTED,2,,1,,0,REDACTED,36955,3,3,3,0,0,0,0,0,3,0,2,0,3,0,6,3,17,REDACTED
1127133,1,REDACTED,2,,1,,0,REDACTED,,6,10,6,11,9,8,6,4,11,0,8,0,8,0,6,33,54,REDACTED
1127294,1,REDACTED,2,,1,,0,REDACTED,,8,8,6,4,5,22,2,35,0,33,0,26,0,0,0,128,13,REDACTED
1127492,1,REDACTED,2,,1,,,REDACTED,138409,2,5,0,7,0,7,0,9,0,14,0,18,0,8,0,68,0,REDACTED
1128248,3,REDACTED,2,,1,,,REDACTED,,13,14,0,15,0,8,0,7,0,9,0,7,0,13,0,73,0,REDACTED
1128248,2,REDACTED,3,,2,5.0,,REDACTED,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,REDACTED
1128379,2,REDACTED,2,,1,,0,REDACTED,79264,5,5,5,5,5,8,7,10,9,2,2,7,7,0,1,37,36,REDACTED
1128379,1,REDACTED,3,,2,,4,REDACTED,47352,2,2,2,0,0,0,0,4,2,5,5,2,2,2,2,15,13,REDACTED
