activityrecordid,obdfileid,hexcode1,hexcode2,hexcode3,misfire_supported,misfire_incomplete,fuelsystem_supported,fuelsystem_incomplete,comprehensivecomponent_supported,comprehensivecomponent_incomplete,catalyst_supported,catalyst_incomplete,heatedcatalyst_supported,heatedcatalyst_incomplete,evaporativesystem_supported,evaporativesystem_incomplete,secondaryairsystem_supported,secondaryairsystem_incomplete,acsystemrefrigerant_supported,acsystemrefrigerant_incomplete,oxygensensor_supported,oxygensensor_incomplete,oxygensensorheater_supported,oxygensensorheater_incomplete,egrsystem_supported,egrsystem_incomplete
42,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
43,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
44,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
45,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
46,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
47,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
48,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
49,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
50,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
51,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
52,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
53,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
54,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
55,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
56,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
57,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
58,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
59,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
60,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
61,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
62,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
63,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
64,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
65,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
66,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
67,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
68,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
69,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
70,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
71,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
72,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
73,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
74,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
75,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
76,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
77,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
78,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
79,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
82,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
83,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
84,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
85,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
86,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
87,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
88,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
89,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
90,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
91,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
92,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
93,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
94,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
95,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
96,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
97,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
98,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
