sampno,chhwgt,cexphhwgt,hctfip
1031985,0.077124178,17.07183025,95
1032036,0.884112382,555.7966383,73
1032053,0.143316324,22.24910218,47
1032425,0.026115345,8.512583085,83
1032558,0.10476975,41.01927476,37
1033586,0.092835713,24.92725753,61
1033660,1.340004572,525.3716686,65
1033944,0.597480458,186.5494123,75
1034462,1.319561747,516.6325771,37
1034878,1.375811766,538.6554893,37
1035198,0.436207146,152.6917325,71
1035274,0.404149292,112.9095979,85
1035364,0.813858288,501.6316889,67
1035438,1.428365065,559.231068,37
1036062,1.275688345,523.0816317,59
1036222,0.170342317,23.56713941,33
1037295,2.150365116,1325.404313,67
1037751,1.046084561,195.3500658,101
1037895,1.39742114,489.1590087,71
1037952,2.00141576,448.2295499,81
1038024,0.102286784,16.21533445,107
1038232,0.510709979,200.2325661,65
1038404,0.026641216,4.223382716,107
1038428,1.698256945,664.8986789,37
1039341,1.133486647,712.5655977,73
1039423,0.109363065,17.57012507,29
1039620,1.086694233,303.5962484,85
1039879,0.065065537,16.56317572,19
1041076,0.845639826,189.3863165,81
1041304,1.446824776,404.2080658,85
1041305,1.148648604,449.7169533,37
1041422,1.316481748,460.8266528,71
1041494,1.788782489,474.0299856,13
1041766,0.588292866,131.7518587,81
1041770,0.09903375,21.61446268,111
1041879,1.000138037,391.5723482,37
1041893,1.320953614,541.6421453,59
1041948,1.290660133,811.3726009,73
1042011,1.168435,457.4636896,37
1042241,1.271011607,497.6243087,37
1042679,0.124566163,48.76993284,37
1043521,0.863407279,338.0397536,37
1043613,0.894110778,279.8177148,1
1043722,0.064124192,10.16548937,107
1044265,0.118039961,15.97486799,39
1044302,0.750767519,293.9392258,37
1044414,0.711076499,188.4363162,13
1044596,0.920428449,122.9504154,103
1044767,1.454125997,569.3169444,37
1044940,0.555971483,217.9781112,65
1044978,0.305548419,30.04919508,25
1045386,1.702314132,1049.24251,67
1045490,1.712272663,670.3860892,37
1045587,1.428365065,559.231068,37
1045607,1.241220802,388.4480278,1
1045672,0.876971057,232.3986175,13
1046885,0.125579831,20.17548921,29
1046924,1.398148528,878.9451062,73
1047092,1.138316308,356.2434051,1
1048704,1.803752581,631.3929273,71
1048730,1.320996563,462.4070371,71
1048736,1.463515565,572.9931322,37
1048852,0.812483994,215.3094513,13
1049769,0.057263112,20.04461366,71
1049908,1.52189206,475.1754902,75
1050315,1.162781919,455.8885018,65
1050385,1.209677621,270.9148525,81
1050668,0.029850693,6.515018156,111
1050783,0.949008362,296.9982665,1
1050821,1.977041005,618.7276898,1
1051191,1.206732362,473.1200237,65
1051203,0.597480458,186.5494123,75
1051388,0.9441671,294.7942737,75
1051649,0.916491483,358.8231909,37
1051795,1.456972056,454.905725,75
1052241,0.145755123,24.19605892,17
1052523,1.779508104,729.6672471,59
1052905,1.980701778,553.3604678,85
1053095,0.078527581,30.74498532,37
1053110,0.525419601,205.9997243,65
1053915,0.866035959,146.4329268,23
1054159,1.330452092,520.8963467,37
1054803,1.312101192,513.7116333,37
1054933,1.39742114,489.1590087,71
1055111,1.106994599,328.5708432,99
1055449,1.006237633,212.8516448,97
1055784,0.10210616,22.2850269,111
1055989,0.768013421,259.5458907,77
1056168,1.428365065,559.231068,37
1056368,1.041882877,364.7049416,71
1056450,0.093227965,36.50045464,37
1056785,1.456398148,597.1796505,59
1057600,0.068306689,17.38824804,19
1058056,0.131097049,12.89275464,25
1058112,0.62779158,212.1586945,77
1058315,0.051818511,11.30957149,111
1058468,0.630549815,396.3947057,73
1058471,1.150524707,402.734372,71
1058669,0.849113227,201.581821,7
1058857,0.971782181,610.9101966,73
1058917,1.061575471,667.3586864,73
1059023,1.202112155,471.3085926,65
1059184,1.134036716,354.9040792,1
1059246,0.484704112,189.7705319,37
1059276,0.064076919,14.27858777,41
1059297,1.394435805,876.6111056,73
1059465,0.614144848,240.4489494,37
1059818,1.447528693,909.9879129,73
1059890,0.54745758,214.3396632,37
1060021,1.473248553,908.0550883,67
1060069,2.085748743,495.1625016,7
1060292,1.100482401,431.4629126,65
1060437,1.606651399,1010.020292,73
1060749,1.828158172,510.7434509,85
1060782,0.942148674,125.8517933,103
1060914,1.01698236,398.1672088,37
1061035,1.440153365,563.846403,37
1061064,0.35521678,28.71986136,5
1061378,0.033324129,8.483037753,19
1061444,1.453831501,401.8390278,89
1061742,0.090658939,20.06781854,95
1061831,1.194338704,267.4796063,81
1061957,0.975190528,381.8049418,37
1062567,1.309449339,512.6733844,37
1062745,0.052352075,13.32681873,19
1062827,0.070660141,18.97290894,61
1063027,0.90300601,152.6839753,23
1063561,0.553718498,216.7909273,37
1063648,1.192126998,283.014236,7
1063692,0.486649805,190.5323064,37
1063952,0.902523701,556.2817201,67
1064066,1.251963038,438.24226,71
1064074,0.048745777,7.727577754,107
1064157,1.287232841,809.2180363,73
1064458,1.444170426,399.1687064,89
1064494,1.236483712,345.4438285,85
1064644,0.885349569,198.2795612,81
1064843,0.082471535,13.07405968,107
1064939,0.295330343,5.765973385,3
1065239,1.251153771,391.5566144,1
1065343,0.893102576,349.6660058,37
1065589,0.947095286,264.595658,85
1065623,0.70459668,288.9119295,59
1065778,1.275464811,431.0362835,77
1065850,0.059191742,9.509666769,29
1065856,0.822875809,288.0428123,71
1065904,0.039832578,8.876097283,41
1065929,0.52987757,165.8285912,1
1066319,1.205682621,255.0406789,97
1066337,1.885399484,526.7352975,85
1066375,1.030151697,634.9468246,67
1066380,0.935516364,366.2717801,37
1066541,0.651719254,203.9597294,1
1066658,0.056424571,11.08307586,45
1066662,1.764032381,1108.957738,73
1066671,0.492811831,172.5058681,71
1066772,1.576855005,646.5716272,59
1067070,0.153237117,6.471633192,27
1067129,0.784344144,307.0850892,37
1067135,0.061292193,8.530163529,87
1067240,0.649263967,254.1987273,37
1067366,1.717915265,672.5952713,37
1067415,1.203665534,376.6948652,1
1067632,0.927858743,363.2736815,37
1067722,1.152898962,305.5199176,13
1067758,0.15040248,14.25772963,93
1067881,1.497907642,586.4582596,37
1067909,1.600111496,626.4729393,37
1067918,0.07081054,8.65821653,53
1067977,0.056322164,12.46719837,95
1068481,1.106914042,374.0754828,77
1069520,0.080753089,17.62464436,111
1069723,0.85880398,268.1416198,75
1069944,0.041332982,9.021068059,111
1069984,0.98313742,183.595062,101
1070161,1.139654698,302.0101681,13
1071082,1.003692232,313.3796154,75
1087188,0.883547775,544.585672,67
