sampno,perno,cperwgt,cexpperwgt,hctfip
1031985,1,0.061196081,15.93203999,95
1031985,2,0.05887282,15.32719265,95
1032036,1,0.857163579,562.4728198,73
1032036,2,0.292124971,191.6931144,73
1032036,3,0.508726747,333.8277249,73
1032036,4,0.508726747,333.8277249,73
1032036,5,0.508726747,333.8277249,73
1032053,1,0.366899299,69.31521563,47
1032053,2,0.145304053,27.45107937,47
1032053,3,0.176862355,33.41312542,47
1032053,4,0.176862355,33.41312542,47
1032053,5,0.176862355,33.41312542,47
1032053,6,0.179314739,33.87643378,47
1032425,1,0.033251441,13.22590309,83
1032425,2,0.063335078,25.1917984,83
1032558,1,0.008413618,3.875671622,37
1033586,1,0.083396694,24.06609449,61
1033586,2,0.084775945,24.46410994,61
1033586,3,0.12788583,36.90448992,61
1033660,1,0.64994911,278.6675349,65
1033944,1,0.461156485,161.8193996,75
1034462,1,0.894702479,412.1381555,37
1034462,2,0.854262828,393.5099259,37
1034878,1,0.390886552,180.0590322,37
1035198,1,0.529750366,217.5955801,71
1035198,2,1.231443575,505.8168834,71
1035198,3,1.753375564,720.2010559,71
1035274,1,0.199218679,59.052515,85
1035274,2,0.472655796,140.1049021,85
1035364,1,0.279128502,181.0434859,67
1035364,2,0.456129433,295.8467589,67
1035364,3,2.962740929,1921.641619,67
1035364,4,2.35555979,1527.822323,67
1035438,1,0.908449358,418.4705547,37
1036062,1,0.242532647,113.1408845,59
1036222,1,0.151308517,25.36427314,33
1036222,2,0.085020504,14.25222676,33
1037295,1,0.838823252,544.0629847,67
1037295,2,1.419415179,920.6364469,67
1037751,1,0.450123593,102.3127686,101
1037895,1,0.472369451,194.0263026,71
1037952,1,0.605237349,152.1902906,81
1037952,2,2.415903414,607.4923227,81
1038024,1,0.11954017,23.48171404,107
1038024,2,0.11652131,22.88870837,107
1038024,3,0.140650338,27.62846188,107
1038232,1,0.499315642,214.0830056,65
1038232,2,1.281080111,549.2667516,65
1038232,3,0.889612175,381.4237574,65
1038232,4,1.280100158,548.8465941,65
1038404,1,0.111834284,21.96801867,107
1038404,2,0.147587888,28.99123028,107
1038428,1,1.103456649,508.2992378,37
1038428,2,2.854850641,1315.066075,37
1038428,3,5.000000657,2303.213746,37
1038428,4,2.513563736,1157.854758,37
1039341,1,0.604729926,396.8252439,73
1039341,2,0.59512992,390.5256967,73
1039341,3,1.062856543,697.4490414,73
1039423,1,0.122044631,24.30443165,29
1039423,2,0.217409978,43.29584937,29
1039423,3,0.14319463,28.51632291,29
1039423,4,0.184565005,36.75497659,29
1039423,5,0.17649018,35.14692522,29
1039423,6,0.17649018,35.14692522,29
1039620,1,0.263468751,78.0975582,85
1039620,2,0.255652435,75.78064137,85
1039879,1,0.104881587,31.60462364,19
1041076,1,0.230270427,57.90277697,81
1041076,2,0.233024701,58.59535438,81
1041304,1,0.992796911,294.2854297,85
1041305,1,0.664217093,305.9667476,37
1041305,2,0.235435761,108.4517621,37
1041305,3,0.832103984,383.3026165,37
1041422,1,1.081446709,444.2054957,71
1041494,1,0.490494064,144.0294206,13
1041494,2,0.461333269,135.4666004,13
1041494,3,0.52133961,153.0869534,13
1041494,4,0.117460876,34.49138981,13
1041766,1,3.046373993,766.0276492,81
1041766,2,3.007960647,756.3684002,81
1041766,3,2.511402533,631.5061064,81
1041770,1,0.125506616,30.37538263,111
1041770,2,0.291046842,70.43978616,111
1041770,3,0.249277702,60.33072872,111
1041770,4,0.249277702,60.33072872,111
1041770,5,0.2470349,59.78792085,111
1041879,1,0.286516413,131.9816909,37
1041893,1,0.60890835,284.0542509,59
1041948,1,0.291437151,191.2417652,73
1041948,2,0.296118475,194.3136617,73
1042011,1,1.987100256,915.3432047,37
1042241,1,0.36990989,170.3962864,37
1042241,2,0.353265085,162.7289785,37
1042679,1,0.347852079,160.2355171,37
1042679,2,0.406822076,187.399615,37
1042679,3,0.178622726,82.28125259,37
1042679,4,0.186972907,86.1277025,37
1042679,5,0.083542369,38.48318142,37
1043521,1,0.387081423,178.3062276,37
1043521,2,0.503433891,231.9031413,37
1043613,1,1.164241826,410.5765059,1
1043613,2,0.581530777,205.0801381,1
1043722,1,0.250096507,49.12737421,107
1043722,2,0.218252646,42.87216783,107
1044265,1,0.19699451,33.84136484,39
1044265,2,0.100590569,17.28028944,39
1044265,3,0.157545783,27.06453244,39
1044302,1,1.33541767,615.150386,37
1044414,1,0.686978615,201.7254421,13
1044414,2,0.261942168,76.91709545,13
1044596,1,1.095465213,156.5039735,103
1044596,2,0.595333031,85.05243598,103
1044767,1,1.083428654,499.0734884,37
1044767,2,2.802953262,1291.159927,37
1044767,3,2.467876612,1136.809318,37
1044767,4,2.467876612,1136.809318,37
1044767,5,2.467876612,1136.809318,37
1044767,6,2.467876612,1136.809318,37
1044940,1,0.554417926,237.7082669,65
1044940,2,0.922474934,395.5137593,65
1044940,3,1.636549424,701.6752334,65
1044978,1,0.201468774,23.52830403,25
1045386,1,0.678113973,439.8265202,67
1045386,2,0.402020356,260.7514686,67
1045490,1,2.599290592,1197.344207,37
1045490,2,2.72261019,1254.150478,37
1045490,3,2.18494478,1006.478838,37
1045490,4,2.18494478,1006.478838,37
1045587,1,0.636355664,293.1325839,37
1045607,1,0.62996047,222.159145,1
1045672,1,0.863823729,253.6545092,13
1045672,2,0.812114196,238.4704437,13
1045672,3,2.165845136,635.982049,13
1046885,1,0.441805718,87.98287011,29
1046885,2,0.175525725,34.95485999,29
1046885,3,0.18353113,36.54908678,29
1046885,4,0.291843743,58.11887231,29
1046885,5,0.186331381,37.1067395,29
1046885,6,0.224794949,44.76652067,29
1046885,7,0.224794949,44.76652067,29
1046885,8,0.224794949,44.76652067,29
1046924,1,0.465415537,305.4068039,73
1046924,2,0.458035938,300.5642933,73
1047092,1,0.249703626,88.05940474,1
1047092,2,0.567528107,200.1420168,1
1048704,1,1.16575191,478.8339557,71
1048704,2,3.251283954,1335.468673,71
1048704,3,2.797824543,1149.209691,71
1048704,4,2.727855712,1120.469912,71
1048704,5,2.797824543,1149.209691,71
1048730,1,1.078138713,442.8467329,71
1048730,2,3.00641744,1234.889467,71
1048730,3,2.587149782,1062.674788,71
1048730,4,2.587149782,1062.674788,71
1048730,5,2.587149782,1062.674788,71
1048730,6,2.587149782,1062.674788,71
1048730,7,2.522456742,1036.102046,71
1048730,8,1.583194684,650.2990615,71
1048736,1,1.720038114,792.3229814,37
1048736,2,0.665515074,306.5646529,37
1048736,3,2.706737154,1246.83868,37
1048736,4,1.046297381,481.9692388,37
1048736,5,1.446003257,666.0908282,37
1048852,1,0.803516279,235.9457384,13
1049769,1,0.037111641,15.24364972,71
1049769,2,0.103437653,42.48713664,71
1049908,1,2.472692035,867.6654314,75
1050315,1,0.547582305,234.7774751,65
1050315,2,0.547164976,234.5985441,65
1050385,1,0.53571638,134.7088571,81
1050385,2,0.758261012,190.6689401,81
1050385,3,0.619437853,155.7610863,81
1050385,4,0.619437853,155.7610863,81
1050668,1,0.09484704,22.95508571,111
1050668,2,0.074799433,18.10312062,111
1050783,1,0.290248952,102.357945,1
1050783,2,0.292147818,103.0275906,1
1050821,1,1.00557133,354.6204527,1
1051191,1,1.182267519,506.9005709,65
1051191,2,1.18136336,506.51291,65
1051191,3,0.224696642,96.33932637,65
1051203,1,0.434611178,152.504675,75
1051388,1,0.42277115,148.3500196,75
1051388,2,0.58903768,206.692797,75
1051388,3,0.513950379,180.3447299,75
1051649,1,1.134992241,522.8258774,37
1051649,2,0.402470403,185.3950485,37
1051649,3,0.797733042,367.4698931,37
1051649,4,0.808370093,372.3697731,37
1051649,5,1.785530694,822.4916596,37
1051795,1,1.194069357,418.9978733,75
1051795,2,0.85037269,298.395019,75
1051795,3,1.03885318,364.532655,75
1051795,4,1.03885318,364.532655,75
1052241,1,0.046776294,8.590190608,17
1052241,2,0.035457117,6.511490438,17
1052523,1,1.741038778,812.1903168,59
1052523,2,3.930006811,1833.338532,59
1052523,3,2.938067797,1370.601416,59
1052523,4,3.101203554,1446.703847,59
1052523,5,2.938067797,1370.601416,59
1052905,1,1.064872687,315.6501724,85
1053095,1,0.049543152,22.82169064,37
1053095,2,0.12390591,57.07635166,37
1053110,1,0.940678602,403.3186337,65
1053110,2,0.31990681,137.1609571,65
1053915,1,0.419654884,75.45735706,23
1053915,2,0.436473254,78.48143656,23
1054159,1,1.02999506,474.4596936,37
1054159,2,2.611455699,1202.947975,37
1054803,1,0.277327143,127.7487209,37
1054803,2,0.393795393,181.3989686,37
1054933,1,0.474276021,194.8094284,71
1055111,1,1.249657102,413.5894128,99
1055111,2,2.304927944,762.8442981,99
1055111,3,1.938750664,641.6534162,99
1055111,4,2.562846483,848.2056161,99
1055111,5,1.938750664,641.6534162,99
1055449,1,1.645532216,384.0766448,97
1055449,2,0.861211525,201.0117031,97
1055784,1,0.119795526,28.99317228,111
1055989,1,0.176244954,69.14438341,77
1055989,2,0.175490948,68.84857205,77
1056168,1,0.666445832,306.9934001,37
1056368,1,0.640155499,262.9446172,71
1056368,2,1.782316199,732.0884556,71
1056368,3,2.169935508,891.3035384,71
1056450,1,0.04161154,19.16805155,37
1056450,2,0.043454386,20.01694528,37
1056785,1,0.22107661,103.1316959,59
1056785,2,0.912867673,425.8505292,59
1056785,3,0.232999854,108.6938599,59
1056785,4,1.019322866,475.5116155,59
1057600,1,0.115196462,34.71286929,19
1058056,1,0.210261203,24.55511807,25
1058056,2,0.26769028,31.26190821,25
1058056,3,0.26769028,31.26190821,25
1058056,4,0.260623306,30.4365996,25
1058056,5,0.11385618,13.29656586,25
1058112,1,0.696633013,273.3029181,77
1058112,2,0.485966251,190.6541779,77
1058315,1,0.095571234,23.1303568,111
1058468,1,0.550012519,360.919549,73
1058468,2,1.030517502,676.228084,73
1058471,1,0.489848867,201.2059929,71
1058669,1,0.847064361,217.1135982,7
1058669,2,0.920445265,235.922077,7
1058669,3,0.81694394,209.393343,7
1058669,4,0.81694394,209.393343,7
1058669,5,0.752001249,192.7476879,7
1058857,1,1.240813918,814.225102,73
1058857,2,2.593857675,1702.095697,73
1058857,3,0.844164814,553.9429986,73
1058857,4,0.844164814,553.9429986,73
1058857,5,0.844164814,553.9429986,73
1058917,1,0.436686939,286.5550282,73
1058917,2,0.443720764,291.1706413,73
1058917,3,0.945567314,620.4835644,73
1059023,1,1.301146361,557.8702133,65
1059184,1,0.621611055,219.2146762,1
1059184,2,0.617457553,217.7499201,1
1059246,1,1.662151204,765.6577996,37
1059246,2,0.65095259,299.8565513,37
1059276,1,0.153640076,35.96522855,41
1059276,2,0.15967279,37.37741192,41
1059297,1,0.533022716,349.7707988,73
1059297,2,1.487957606,976.4013896,73
1059465,1,0.67916516,312.8524652,37
1059818,1,1.587817999,1041.930022,73
1059818,2,0.849548909,557.4760544,73
1059818,3,1.418126681,930.5781676,73
1059890,1,0.795816175,366.5869024,37
1059890,2,2.033023691,936.497499,37
1059890,3,0.686980646,316.4526116,37
1060021,1,1.144615416,742.4005927,67
1060021,2,0.696908093,452.0164363,67
1060069,1,0.869133431,222.7701875,7
1060069,2,1.494663365,383.1016345,7
