sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,geom
1044596,6103,26,3,3,2012-05-05 00:00:00,9,30,5,1,1,1,2,1,REDACTED
1051795,6075,11,2,2,2012-05-13 00:00:00,10,73,7,1,1,1,4,1,REDACTED
1054803,6037,3,2,2,2012-05-03 00:00:00,4,25,4,1,1,1,2,1,REDACTED
1057600,6019,22,1,1,2012-05-05 00:00:00,0,20,0,1,1,1,2,1,REDACTED
1119821,6065,4,3,3,2012-02-02 00:00:00,5,42,5,1,1,1,1,1,REDACTED
1120424,6069,23,2,2,2012-02-02 00:00:00,7,34,4,1,1,1,2,1,REDACTED
1121290,6073,14,2,2,2012-02-02 00:00:00,5,31,6,1,1,1,1,1,REDACTED
1128811,6083,25,2,2,2012-03-20 00:00:00,21,74,16,1,1,1,2,1,REDACTED
1129234,6037,3,1,1,2012-03-31 00:00:00,4,43,3,1,1,1,2,1,REDACTED
1131660,6071,4,2,2,2012-03-04 00:00:00,4,56,4,1,1,1,1,1,REDACTED
1135317,6079,25,4,3,2012-04-06 00:00:00,22,80,20,1,1,1,2,1,REDACTED
1138010,6111,3,1,1,2012-03-10 00:00:00,3,28,4,1,1,1,1,1,REDACTED
1140735,6111,3,2,2,2012-02-09 00:00:00,16,0,12,1,1,1,2,1,REDACTED
1141076,6037,3,1,1,2012-04-27 00:00:00,10,50,4,1,1,1,2,1,REDACTED
1150104,6081,12,2,2,2012-04-19 00:00:00,4,59,3,1,1,1,2,1,REDACTED
1151151,6077,24,1,1,2012-04-28 00:00:00,0,0,0,1,1,1,2,1,REDACTED
1151498,6079,25,2,2,2012-03-28 00:00:00,14,91,13,1,1,1,2,1,REDACTED
1152022,6061,15,3,2,2012-02-13 00:00:00,9,0,10,1,1,1,1,1,REDACTED
1156732,6065,4,3,2,2012-02-15 00:00:00,12,50,10,1,1,1,2,1,REDACTED
1157183,6093,18,3,3,2012-02-16 00:00:00,17,0,24,1,1,1,3,1,REDACTED
1158877,6009,29,2,2,2012-03-29 00:00:00,6,25,3,1,1,1,2,1,REDACTED
1158941,6065,4,3,3,2012-02-15 00:00:00,12,32,8,1,1,1,3,1,REDACTED
1224932,6037,3,4,2,2012-03-11 00:00:00,0,55,0,1,1,1,1,1,REDACTED
1234336,6037,3,2,2,2012-02-16 00:00:00,12,8,12,1,1,1,1,1,REDACTED
1235282,6037,3,2,2,2012-02-27 00:00:00,4,22,4,1,1,1,1,1,REDACTED
1295325,6073,14,1,1,2012-02-10 00:00:00,10,3,9,1,1,1,1,1,REDACTED
1321768,6099,24,1,1,2012-02-25 00:00:00,9,62,10,1,1,1,1,1,REDACTED
1330361,6111,3,3,2,2012-03-07 00:00:00,4,0,2,1,1,1,1,1,REDACTED
1346841,6037,3,2,2,2012-04-30 00:00:00,2,91,2,1,1,1,2,1,REDACTED
1402529,6107,22,2,2,2012-04-22 00:00:00,2,77,1,1,1,1,2,1,REDACTED
1407588,6081,12,2,2,2012-05-16 00:00:00,2,48,2,1,1,1,3,1,REDACTED
1442488,6037,3,2,2,2012-03-24 00:00:00,3,2,3,1,1,1,3,1,REDACTED
1458064,6057,16,2,2,2012-04-21 00:00:00,2,16,2,1,1,1,2,1,REDACTED
1480542,6107,22,2,2,2012-03-17 00:00:00,0,0,0,1,1,1,1,1,REDACTED
1502994,6065,4,3,2,2012-04-20 00:00:00,8,13,11,1,1,1,2,1,REDACTED
1677168,6085,13,2,2,2012-06-06 00:00:00,14,0,7,1,1,1,3,1,REDACTED
1680876,6029,22,3,3,2012-06-13 00:00:00,27,81,21,1,1,1,3,1,REDACTED
1697721,6061,15,4,3,2012-06-06 00:00:00,0,17,7,1,1,1,3,1,REDACTED
1702618,6073,14,1,1,2012-06-09 00:00:00,4,29,4,1,1,1,3,1,REDACTED
