sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
1035198,1,1,2,2,0,0,0,0
1035198,3,1,10,5,5,0,5,5
1037295,1,1,3,2,1,0,1,1
1037751,1,1,3,3,0,0,0,0
1044414,1,1,8,8,0,0,0,0
1044596,1,1,9,5,4,0,4,4
1044596,2,1,0,0,0,0,0,0
1044596,3,1,0,0,0,0,0,0
1051649,1,1,2,2,0,0,0,0
1051649,2,1,5,2,3,0,3,3
1051649,3,1,2,2,0,0,0,0
1051795,1,1,0,0,0,0,0,0
1051795,2,1,10,7,3,0,3,3
1054803,1,1,4,4,0,0,0,0
1054803,2,1,0,0,0,0,0,0
1054933,1,1,0,0,0,0,0,0
1057600,1,1,0,0,0,0,0,0
1119025,1,1,8,5,3,1,4,3
1119025,2,1,0,0,0,0,0,0
1119055,1,1,6,6,0,0,0,0
1119055,2,1,3,3,0,0,0,0
1119070,1,1,10,9,1,0,1,1
1119070,2,1,7,5,2,0,2,2
1119070,3,1,0,0,0,0,0,0
1119821,1,1,0,0,0,0,0,0
1119821,2,1,3,3,0,0,0,0
1119821,3,1,2,2,0,0,0,0
1120424,1,1,7,4,3,0,3,3
1120424,2,1,0,0,0,0,0,0
1120935,1,1,2,2,0,0,0,0
1120935,2,1,10,9,1,1,2,2
1121105,1,1,0,0,0,0,0,0
1121105,2,1,12,7,5,0,5,5
1121290,1,1,5,6,-1,1,0,0
1121290,2,1,0,0,0,0,0,0
1123111,1,1,7,4,3,0,3,3
1123111,2,1,2,2,0,0,0,0
1123227,1,1,0,0,0,0,0,0
1123227,2,1,0,0,0,0,0,0
1125362,1,1,7,6,1,0,1,0
1125362,2,1,3,2,1,0,1,0
1125585,1,1,2,2,0,0,0,0
1125585,2,1,3,3,0,0,0,0
1128195,1,1,15,7,8,0,8,8
1128811,1,1,15,9,6,0,6,6
1128811,2,1,6,7,-1,1,0,0
1129234,1,1,4,3,1,0,1,1
1130487,1,1,2,2,0,0,0,0
1130487,2,1,6,5,1,1,2,2
1130604,1,1,14,10,4,0,4,4
