sampno,vehno,trip,startplace,endplace,startgpsplaceid,endgpsplaceid,newgpslist
1135317,2,13.0,REDACTED,REDACTED,14.0,15.0,
1135317,2,14.0,REDACTED,REDACTED,15.0,16.0,
1135317,2,15.0,REDACTED,REDACTED,16.0,18.0,17
1135317,2,16.0,REDACTED,REDACTED,18.0,19.0,
1135438,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1135438,1,2.0,REDACTED,REDACTED,3.0,4.0,
1135438,2,-999.0,REDACTED,REDACTED,1.0,2.0,1
1135438,2,1.0,REDACTED,REDACTED,,2.0,
1135438,2,2.0,REDACTED,REDACTED,2.0,3.0,
1135955,1,1.0,REDACTED,REDACTED,1.0,2.0,
1135955,1,2.0,REDACTED,REDACTED,2.0,3.0,
1135955,2,1.0,REDACTED,REDACTED,1.0,2.0,
1135955,2,2.0,REDACTED,REDACTED,2.0,3.0,
1135955,2,3.0,REDACTED,REDACTED,3.0,4.0,
1135955,2,4.0,REDACTED,REDACTED,4.0,5.0,
1135955,2,5.0,REDACTED,REDACTED,5.0,6.0,
1135955,2,6.0,REDACTED,REDACTED,6.0,7.0,
1137549,1,1.0,REDACTED,REDACTED,1.0,2.0,
1137549,1,2.0,REDACTED,REDACTED,2.0,3.0,
1137549,1,3.0,REDACTED,REDACTED,3.0,4.0,
1137549,1,4.0,REDACTED,REDACTED,4.0,5.0,
1137549,1,5.0,REDACTED,REDACTED,5.0,6.0,
1137549,1,6.0,REDACTED,REDACTED,6.0,7.0,
1137549,1,7.0,REDACTED,REDACTED,7.0,8.0,
1137549,1,8.0,REDACTED,REDACTED,8.0,9.0,
1137549,1,9.0,REDACTED,REDACTED,9.0,10.0,
1137549,2,1.0,REDACTED,REDACTED,1.0,2.0,
1137549,2,2.0,REDACTED,REDACTED,2.0,3.0,
1137549,2,3.0,REDACTED,REDACTED,3.0,5.0,4
1137549,2,4.0,REDACTED,REDACTED,5.0,6.0,
1138010,1,1.0,REDACTED,REDACTED,1.0,4.0,"2, 3"
1138010,1,2.0,REDACTED,REDACTED,,,
1138010,1,3.0,REDACTED,REDACTED,,,
