sampno,vehno,diarytripsday1,gpstripsday1,gpstripsday2,gpstripsday3,gpstripsday4,gpstripsday5,gpstripsday6,gpstripsday7,totalgpstrips,geom
1035198,1,2,2,2,4,2,0,0,6,16,REDACTED
1035198,2,0,8,4,7,6,6,6,4,41,REDACTED
1035198,3,5,10,9,9,8,5,5,5,51,REDACTED
1037295,1,2,3,2,8,9,2,5,0,29,REDACTED
1037751,1,3,3,0,0,0,0,0,0,3,REDACTED
1044414,1,8,8,7,7,2,9,10,24,67,REDACTED
1044596,1,5,9,0,4,3,0,4,3,23,REDACTED
1044596,2,0,0,0,0,0,0,0,0,0,REDACTED
1044596,3,0,0,0,0,0,3,9,4,16,REDACTED
1051649,1,2,2,5,2,2,3,2,2,18,REDACTED
1051649,2,2,5,2,3,2,2,9,6,29,REDACTED
1051649,3,2,2,0,2,6,5,10,0,25,REDACTED
1051795,1,0,0,0,0,9,14,2,5,30,REDACTED
1051795,2,7,10,15,13,2,2,3,8,53,REDACTED
1054803,1,4,4,7,0,8,6,2,2,29,REDACTED
1054803,2,0,0,0,0,0,0,0,0,0,REDACTED
1054933,1,0,0,0,0,0,0,0,0,0,REDACTED
1057600,1,0,0,4,5,9,2,0,0,20,REDACTED
1119025,1,5,8,2,6,0,0,0,0,16,REDACTED
1119025,2,0,0,0,0,0,0,0,0,0,REDACTED
1119055,1,6,6,3,0,0,0,0,0,9,REDACTED
1119055,2,3,3,0,0,3,0,4,0,10,REDACTED
1119070,1,9,10,11,14,3,2,9,10,59,REDACTED
1119070,2,5,7,8,4,6,5,9,6,45,REDACTED
1119070,3,0,0,0,0,0,0,0,0,0,REDACTED
1119821,1,0,0,4,5,2,0,6,4,21,REDACTED
1119821,2,3,3,2,0,0,2,5,3,15,REDACTED
1119821,3,2,2,3,0,2,2,0,2,11,REDACTED
1120424,1,4,7,4,13,4,5,6,2,41,REDACTED
1120424,2,0,0,0,0,0,0,0,0,0,REDACTED
1120935,1,2,2,5,0,11,9,5,6,38,REDACTED
1120935,2,9,10,1,0,0,0,0,0,11,REDACTED
1121105,1,0,0,0,0,0,0,0,0,0,REDACTED
1121105,2,7,12,0,0,0,0,0,0,12,REDACTED
1121290,1,6,5,8,7,3,2,5,4,34,REDACTED
1121290,2,0,0,0,0,0,0,0,2,2,REDACTED
1123111,1,4,7,12,18,14,20,18,6,95,REDACTED
1123111,2,2,2,2,0,0,0,2,4,10,REDACTED
1123227,1,0,0,2,2,0,4,5,3,16,REDACTED
1123227,2,0,0,0,0,0,0,0,0,0,REDACTED
1125362,1,6,7,1,0,0,0,0,0,8,REDACTED
1125362,2,2,3,0,0,0,0,0,0,3,REDACTED
1125585,1,2,2,4,2,5,9,6,6,34,REDACTED
1125585,2,3,3,0,0,0,0,0,0,3,REDACTED
1128195,1,7,15,0,7,8,4,4,4,42,REDACTED
1128811,1,9,15,16,7,0,0,0,0,38,REDACTED
1128811,2,7,6,13,11,12,3,6,6,57,REDACTED
1129234,1,3,4,0,7,7,12,9,8,47,REDACTED
1130487,1,2,2,3,3,2,2,2,1,15,REDACTED
1130487,2,5,6,3,2,0,2,4,3,20,REDACTED
1130604,1,10,14,5,9,5,4,4,3,44,REDACTED
1131660,1,4,4,5,2,9,7,3,2,32,REDACTED
1131660,2,0,0,9,3,6,5,3,2,28,REDACTED
1132564,1,4,5,0,0,0,0,0,0,5,REDACTED
1134039,1,0,0,0,0,0,0,0,0,0,REDACTED
1134470,1,5,4,4,2,3,6,6,11,36,REDACTED
1134470,2,0,0,0,0,0,0,0,0,0,REDACTED
1134721,2,4,6,11,0,4,8,0,0,29,REDACTED
1134742,1,7,8,0,0,0,0,0,0,8,REDACTED
1134742,2,4,4,0,0,0,0,0,0,4,REDACTED
1135317,1,4,4,6,0,3,4,7,3,27,REDACTED
1135317,2,16,18,2,2,8,15,11,10,66,REDACTED
1135317,3,0,0,0,0,9,0,0,0,9,REDACTED
