sampno,home_county_id,mpo_id,persons_count,persons_count_gps,travel_day1,gps_trips_td,gps_trips_23,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,mtcflag,geom
1123124,6013,6,6,4,2012-03-12 00:00:00,29,36,15,1,1,1,3,1,1.0,REDACTED
1125309,6001,5,3,3,2012-03-01 00:00:00,51,96,12,1,1,1,3,1,1.0,REDACTED
1125492,6085,13,3,3,2012-04-12 00:00:00,18,33,15,1,1,1,2,1,1.0,REDACTED
1129139,6085,13,2,1,2012-02-07 00:00:00,6,2,5,1,1,1,1,1,1.0,REDACTED
1131592,6023,20,1,1,2012-02-07 00:00:00,0,0,0,1,1,1,1,1,,REDACTED
1132468,6097,8,4,2,2012-03-29 00:00:00,30,31,9,1,1,1,2,1,1.0,REDACTED
1132759,6071,4,2,2,2012-07-12 00:00:00,14,22,9,1,1,1,3,1,,REDACTED
1133154,6059,2,5,4,2012-02-09 00:00:00,4,28,12,1,1,1,3,1,,REDACTED
1134113,6027,30,2,2,2012-02-10 00:00:00,3,24,4,1,1,1,3,1,,REDACTED
1134890,6077,24,7,7,2012-04-26 00:00:00,34,66,21,1,1,1,3,1,,REDACTED
1135920,6001,5,4,2,2012-02-12 00:00:00,2,0,2,1,1,1,3,1,,REDACTED
1136407,6007,26,2,2,2012-04-30 00:00:00,3,10,4,1,1,1,2,1,,REDACTED
1136853,6075,11,4,2,2012-02-11 00:00:00,0,9,0,1,1,1,1,1,,REDACTED
1137381,6073,14,2,2,2012-02-11 00:00:00,8,6,6,1,1,1,1,1,,REDACTED
1138323,6095,10,6,2,2012-02-20 00:00:00,9,17,8,1,1,1,1,1,1.0,REDACTED
1138798,6073,14,2,2,2012-02-13 00:00:00,5,7,3,1,1,1,1,1,,REDACTED
1139845,6095,10,3,2,2012-04-30 00:00:00,7,24,5,1,1,1,2,1,,REDACTED
1140227,6061,15,2,1,2012-02-14 00:00:00,16,31,3,1,1,1,2,1,,REDACTED
1140730,6073,14,6,5,2012-02-16 00:00:00,29,65,18,1,1,1,3,1,,REDACTED
1141077,6017,15,2,2,2012-05-03 00:00:00,0,50,0,1,1,1,2,1,,REDACTED
1141686,6059,2,4,2,2012-04-30 00:00:00,11,41,9,1,1,1,3,1,,REDACTED
1143814,6093,18,2,2,2012-02-19 00:00:00,0,14,0,1,1,1,1,1,,REDACTED
1147833,6085,13,4,2,2012-02-21 00:00:00,19,0,23,1,1,1,1,1,1.0,REDACTED
1148453,6097,8,1,1,2012-02-15 00:00:00,11,8,10,1,1,1,1,1,1.0,REDACTED
1148962,6097,8,1,1,2012-02-02 00:00:00,0,0,0,1,1,1,1,1,1.0,REDACTED
1150090,6097,8,2,2,2012-04-19 00:00:00,26,16,21,1,1,1,2,1,1.0,REDACTED
1150277,6081,12,2,1,2012-05-09 00:00:00,13,20,5,1,1,1,3,1,1.0,REDACTED
1151272,6085,13,4,3,2012-02-20 00:00:00,6,42,7,1,1,1,3,1,1.0,REDACTED
1151647,6081,12,2,2,2012-02-14 00:00:00,8,11,8,1,1,1,1,1,1.0,REDACTED
1153453,6085,13,2,2,2012-08-02 00:00:00,19,21,15,1,1,1,3,1,1.0,REDACTED
1162704,6085,13,2,2,2012-02-07 00:00:00,6,12,8,1,1,1,1,1,1.0,REDACTED
1163961,6001,5,2,2,2012-05-10 00:00:00,12,23,11,1,1,1,2,1,1.0,REDACTED
1164665,6085,13,1,1,2012-02-09 00:00:00,21,40,7,1,1,1,1,1,1.0,REDACTED
1166359,6095,10,2,2,2012-02-07 00:00:00,6,11,5,1,1,1,1,1,1.0,REDACTED
1168201,6097,8,2,2,2012-05-31 00:00:00,2,12,2,1,1,1,2,1,1.0,REDACTED
1168673,6001,5,2,1,2012-02-08 00:00:00,8,0,4,1,1,1,1,1,1.0,REDACTED
1170713,6097,8,3,3,2012-02-22 00:00:00,14,26,8,1,1,1,1,1,1.0,REDACTED
1170729,6085,13,1,1,2012-02-07 00:00:00,3,6,4,1,1,1,1,1,1.0,REDACTED
1172549,6095,10,6,5,2012-07-25 00:00:00,25,73,26,1,1,1,4,1,1.0,REDACTED
1172814,6075,11,4,4,2012-02-16 00:00:00,25,0,25,1,1,1,1,1,1.0,REDACTED
1172894,6097,8,2,2,2012-03-06 00:00:00,10,10,10,1,1,1,2,1,1.0,REDACTED
1173654,6001,5,3,2,2012-02-16 00:00:00,11,51,16,1,1,1,1,1,1.0,REDACTED
1173939,6085,13,5,1,2012-02-16 00:00:00,9,0,8,1,1,1,3,1,1.0,REDACTED
1177174,6001,5,4,2,2012-02-29 00:00:00,4,8,4,1,1,1,1,1,1.0,REDACTED
1177229,6001,5,3,2,2012-03-09 00:00:00,10,8,11,1,1,1,1,1,,REDACTED
1183122,6007,26,5,2,2012-02-27 00:00:00,0,0,0,1,1,1,1,1,,REDACTED
1185393,6013,6,1,1,2012-03-08 00:00:00,7,14,5,1,1,1,1,1,,REDACTED
1185817,6013,6,2,2,2012-03-06 00:00:00,11,19,12,1,1,1,3,1,,REDACTED
1189565,6015,19,2,2,2012-04-12 00:00:00,9,9,9,1,1,1,2,1,,REDACTED
1197925,6023,20,1,1,2012-02-25 00:00:00,4,6,3,1,1,1,1,1,,REDACTED
1206849,6029,22,3,2,2012-02-26 00:00:00,14,23,15,1,1,1,1,1,,REDACTED
1209104,6031,22,2,2,2012-03-25 00:00:00,10,27,8,1,1,1,2,1,,REDACTED
1216919,6037,3,1,1,2012-04-10 00:00:00,2,0,2,1,1,1,2,1,,REDACTED
1217174,6037,3,1,1,2012-03-09 00:00:00,4,13,4,1,1,1,1,1,,REDACTED
1223485,6037,3,1,1,2012-04-04 00:00:00,6,13,6,1,1,1,2,1,,REDACTED
1238891,6037,3,5,5,2012-02-19 00:00:00,17,19,18,1,1,1,5,1,,REDACTED
1242289,6037,3,1,1,2012-04-09 00:00:00,5,16,5,1,1,1,2,1,,REDACTED
1243366,6037,3,1,1,2012-03-23 00:00:00,3,2,2,1,1,1,2,1,,REDACTED
1265784,6055,9,1,1,2012-02-27 00:00:00,6,3,6,1,1,1,1,1,,REDACTED
1269231,6059,2,2,2,2012-04-10 00:00:00,15,16,16,1,1,1,2,1,,REDACTED
1271336,6059,2,1,1,2012-04-03 00:00:00,6,9,5,1,1,1,2,1,,REDACTED
1271889,6059,2,2,2,2012-03-14 00:00:00,0,0,0,1,1,1,1,1,,REDACTED
1281468,6065,4,2,2,2012-04-04 00:00:00,10,8,8,1,1,1,2,1,,REDACTED
1295919,6073,14,3,2,2012-03-20 00:00:00,20,18,10,1,1,1,1,1,,REDACTED
1297587,6073,14,3,2,2012-03-05 00:00:00,15,44,11,1,1,1,2,1,,REDACTED
1300089,6073,14,4,3,2012-04-01 00:00:00,22,36,14,1,1,1,2,1,,REDACTED
1300991,6075,11,2,2,2012-03-02 00:00:00,17,13,16,1,1,1,1,1,,REDACTED
1302033,6075,11,2,2,2012-02-25 00:00:00,8,24,6,1,1,1,1,1,,REDACTED
1305092,6079,25,5,2,2012-03-06 00:00:00,10,49,9,1,1,1,1,1,,REDACTED
1307983,6081,12,1,1,2012-03-15 00:00:00,8,8,7,1,1,1,1,1,,REDACTED
1313043,6085,13,5,2,2012-04-07 00:00:00,14,14,11,1,1,1,2,1,,REDACTED
