sampno,perno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
1041494,1,1,0,0,0,0,0,0
1041494,2,1,0,0,0,0,0,0
1041494,3,1,0,0,0,0,0,0
1043613,1,1,6,6,0,0,0,0
1043613,2,1,6,5,1,1,2,1
1048852,1,1,16,18,-2,3,1,1
1050385,1,1,3,4,-1,2,1,1
1052905,1,1,9,9,0,0,0,0
1055449,1,1,5,2,3,0,3,3
1055449,2,1,7,4,3,1,4,4
1059276,1,1,16,9,7,3,10,8
1065589,1,1,3,2,1,0,1,0
1065589,2,1,2,2,0,0,0,0
1066541,1,1,5,5,0,0,0,0
1066541,2,1,8,4,4,0,4,4
1119021,1,1,0,0,0,0,0,0
1119021,2,1,0,0,0,0,0,0
1119035,1,1,6,4,2,0,2,2
1119040,1,1,2,2,0,0,0,0
1119762,1,1,6,5,1,0,1,1
1119993,1,1,12,11,1,2,3,3
1119993,2,1,11,9,2,3,5,5
1120119,1,1,6,6,0,0,0,0
1120231,1,1,5,4,1,0,1,1
1120697,1,1,11,9,2,0,2,2
1120697,2,1,0,0,0,0,0,0
1121125,1,1,8,8,0,1,1,0
1121261,1,1,9,7,2,0,2,2
1121261,2,1,3,3,0,0,0,0
1121263,1,1,10,9,1,1,2,1
1121263,2,1,6,4,2,0,2,0
1121310,1,1,2,5,-3,3,0,0
1121310,2,1,5,5,0,0,0,0
1121448,1,1,2,2,0,0,0,0
1121448,2,1,5,5,0,0,0,0
1121448,3,1,3,4,-1,1,0,0
1121606,1,1,13,12,1,0,1,1
1121606,2,1,6,6,0,0,0,0
1121694,1,1,6,2,4,0,4,4
1121694,2,1,2,2,0,0,0,0
1121752,1,1,8,7,1,0,1,1
1121752,2,1,15,8,7,0,7,3
1123124,3,1,18,7,11,1,12,9
1123197,1,1,5,6,-1,2,1,0
1123197,3,1,3,3,0,0,0,0
1123197,4,1,6,3,3,0,3,3
1123587,1,1,5,8,-3,3,0,0
1123587,2,1,9,9,0,0,0,0
1123731,1,1,5,5,0,0,0,0
1123731,3,1,8,8,0,0,0,0
1123731,4,1,7,5,2,2,4,4
1124202,1,1,12,10,2,1,3,3
1124202,2,1,9,10,-1,4,3,0
1124202,3,1,1,8,-7,7,0,0
1124315,1,1,4,4,0,0,0,0
1124362,1,1,0,0,0,0,0,0
1124474,1,1,3,3,0,0,0,0
1124474,2,1,5,6,-1,2,1,1
1124769,1,1,12,9,3,1,4,4
1124769,2,1,0,0,0,0,0,0
1124769,3,1,10,6,4,0,4,0
1125257,2,1,13,6,7,0,7,3
1125309,1,1,5,2,3,0,3,1
1125309,2,1,35,2,33,0,33,2
1125309,3,1,11,8,3,0,3,3
1125492,1,1,6,5,1,1,2,1
1125492,2,1,2,5,-3,3,0,0
1125492,3,1,10,5,5,0,5,3
1125843,1,1,2,4,-2,2,0,0
1125843,2,1,4,5,-1,2,1,1
1125937,1,1,2,2,0,1,1,0
1125937,2,1,3,2,1,0,1,0
1125964,1,1,4,3,1,0,1,1
1126014,1,1,3,3,0,0,0,0
1126396,1,1,0,0,0,0,0,0
1126853,1,1,10,10,0,2,2,2
1126853,2,1,9,8,1,2,3,1
1126968,1,1,1,0,1,0,1,0
1126968,2,1,0,0,0,0,0,0
1126992,1,1,9,9,0,0,0,0
1127272,1,1,6,2,4,0,4,4
1127272,2,1,9,5,4,0,4,4
1127481,1,1,5,5,0,0,0,0
1127481,2,1,19,6,13,0,13,2
1127626,1,1,13,11,2,1,3,2
1127626,2,1,13,13,0,0,0,0
1127843,1,1,4,4,0,0,0,0
1127843,2,1,5,3,2,0,2,2
1128205,1,1,3,6,-3,3,0,0
1128205,2,1,7,5,2,1,3,3
1128205,3,1,3,2,1,1,2,2
1129139,1,1,6,5,1,0,1,0
1129697,1,1,0,0,0,0,0,0
1129862,1,1,9,3,6,0,6,5
1129862,2,1,5,3,2,0,2,2
1129862,4,1,0,0,0,0,0,0
1130076,1,1,9,8,1,0,1,1
1130076,2,1,4,3,1,0,1,1
1130977,1,1,7,6,1,0,1,1
1131308,1,1,3,2,1,0,1,1
1131308,3,1,4,2,2,0,2,2
1131380,1,1,9,9,0,0,0,0
1131380,2,1,1,5,-4,4,0,0
1131380,3,1,0,0,0,0,0,0
1131529,1,1,12,10,2,0,2,1
1131529,2,1,10,9,1,0,1,1
1131529,3,1,12,5,7,1,8,0
1131592,1,1,0,0,0,0,0,0
1132119,1,1,7,8,-1,2,1,1
1132139,1,1,9,9,0,0,0,0
1132139,2,1,3,4,-1,1,0,0
1132210,1,1,4,5,-1,1,0,0
1132210,2,1,0,0,0,0,0,0
1132468,1,1,9,7,2,0,2,2
1132468,2,1,21,2,19,0,19,1
1132741,1,1,6,6,0,0,0,0
1132741,2,1,2,4,-2,2,0,0
1132759,1,1,9,6,3,0,3,3
1132759,2,1,5,3,2,0,2,1
1132890,1,1,3,6,-3,3,0,0
1132890,2,1,5,7,-2,2,0,0
1133036,1,1,6,5,1,0,1,1
1133036,2,1,8,12,-4,5,1,1
1133154,1,1,2,4,-2,2,0,0
1133154,2,1,0,0,0,0,0,0
1133154,3,1,2,6,-4,4,0,0
1133746,1,1,0,0,0,0,0,0
1133746,2,1,5,2,3,0,3,3
1133746,3,1,0,0,0,0,0,0
1133746,4,1,0,0,0,0,0,0
1133746,5,1,3,1,2,0,2,2
1134113,1,1,2,2,0,0,0,0
1134135,1,1,3,2,1,0,1,0
1134135,2,1,7,6,1,2,3,2
1134394,1,1,0,0,0,0,0,0
1134860,1,1,0,0,0,0,0,0
1134890,1,1,7,3,4,0,4,3
1134890,2,1,7,3,4,0,4,3
1134890,3,1,8,3,5,0,5,5
1134890,5,1,2,2,0,0,0,0
1134890,6,1,2,4,-2,2,0,0
1135117,1,1,4,4,0,0,0,0
1135117,2,1,4,2,2,0,2,2
1135291,1,1,4,3,1,0,1,0
1135291,2,1,4,3,1,1,2,1
1135478,1,1,6,4,2,0,2,2
1135630,1,1,5,6,-1,1,0,0
1135876,1,1,2,2,0,0,0,0
1135876,2,1,0,0,0,0,0,0
1135906,1,1,1,11,-10,10,0,0
1135906,2,1,5,3,2,0,2,0
1135920,1,1,0,0,0,0,0,0
1135976,1,1,4,5,-1,1,0,0
1135976,2,1,4,2,2,0,2,2
1136102,1,1,8,8,0,0,0,0
1136119,1,1,0,0,0,0,0,0
1136119,2,1,4,4,0,0,0,0
1136119,3,1,5,2,3,0,3,3
1136370,1,1,16,9,7,1,8,4
1136370,2,1,9,7,2,0,2,2
1136407,1,1,0,0,0,0,0,0
1136407,2,1,3,4,-1,1,0,0
1136853,1,1,0,0,0,0,0,0
1136853,2,1,0,0,0,0,0,0
1136989,1,1,9,7,2,0,2,2
1136989,2,1,7,7,0,0,0,0
1137373,1,1,1,1,0,0,0,0
1137373,2,1,6,2,4,0,4,1
1137381,1,1,0,0,0,0,0,0
1137381,2,1,8,6,2,0,2,2
1137895,1,1,6,5,1,2,3,2
1137895,2,1,3,6,-3,3,0,0
1137895,3,1,3,2,1,0,1,1
1138127,1,1,7,4,3,0,3,0
1138323,1,1,4,2,2,0,2,2
1138323,2,1,5,6,-1,1,0,0
1138391,1,1,5,1,4,0,4,4
1138391,2,1,0,0,0,0,0,0
1138686,1,1,9,8,1,2,3,2
1138707,1,1,10,9,1,0,1,1
1138798,1,1,5,3,2,0,2,2
1138798,2,1,0,0,0,0,0,0
1139208,1,1,4,4,0,0,0,0
1139254,1,1,0,0,0,0,0,0
1139254,2,1,0,0,0,0,0,0
1139514,1,1,12,8,4,6,10,0
1139514,2,1,3,4,-1,1,0,0
1139845,1,1,3,3,0,0,0,0
1139845,2,1,4,2,2,0,2,2
1139913,1,1,3,3,0,0,0,0
1140147,1,1,8,5,3,0,3,2
1140227,1,1,16,3,13,1,14,0
1140514,1,1,10,8,2,0,2,2
1140514,2,1,4,6,-2,2,0,0
1140730,2,1,9,5,4,0,4,1
1140730,3,1,5,3,2,0,2,2
1140730,4,1,3,2,1,0,1,0
1140730,5,1,12,6,6,0,6,3
1141077,1,1,0,0,0,0,0,0
1141077,2,1,0,0,0,0,0,0
1141185,1,1,14,7,7,1,8,8
1141185,2,1,11,4,7,0,7,7
1141648,1,1,3,3,0,0,0,0
1141648,2,1,0,0,0,0,0,0
1141686,1,1,9,7,2,0,2,2
1141686,2,1,2,2,0,0,0,0
1142029,1,1,4,4,0,0,0,0
1142029,2,1,1,4,-3,3,0,0
1142612,1,1,5,4,1,0,1,1
1142612,2,1,5,4,1,0,1,1
1142701,1,1,5,5,0,0,0,0
1142701,2,1,5,7,-2,3,1,0
1142701,3,1,8,7,1,0,1,0
1142789,1,1,5,7,-2,3,1,1
1143233,1,1,4,5,-1,2,1,1
1143233,2,1,4,4,0,0,0,0
1143505,1,1,6,6,0,0,0,0
1143505,2,1,10,9,1,0,1,1
1143740,1,1,6,6,0,0,0,0
1143814,1,1,0,0,0,0,0,0
1143814,2,1,0,0,0,0,0,0
1145194,1,1,4,6,-2,2,0,0
1145194,2,1,5,8,-3,4,1,1
1145353,1,1,2,6,-4,4,0,0
1145588,1,1,2,3,-1,1,0,0
1145588,2,1,5,5,0,0,0,0
1147026,1,1,6,1,5,0,5,5
1147026,3,1,0,0,0,0,0,0
1147026,7,1,0,0,0,0,0,0
1147833,1,1,5,13,-8,9,1,0
1147833,2,1,14,10,4,1,5,3
1148086,1,1,6,4,2,0,2,2
1148453,1,1,11,10,1,1,2,1
1148899,1,1,12,8,4,0,4,3
1148899,2,1,0,0,0,0,0,0
1148962,1,1,0,0,0,0,0,0
1149029,1,1,2,7,-5,5,0,0
1149029,2,1,8,8,0,3,3,2
1149029,3,1,0,0,0,0,0,0
1149981,1,1,5,5,0,0,0,0
1149981,2,1,13,12,1,0,1,0
1150090,1,1,10,9,1,0,1,1
1150090,2,1,16,12,4,0,4,4
1150277,1,1,13,5,8,0,8,8
1150298,1,1,9,8,1,0,1,1
1150298,2,1,24,16,8,2,10,10
1150298,3,1,9,2,7,0,7,7
1150298,4,1,18,14,4,0,4,4
1150646,1,1,4,4,0,1,1,0
1150835,1,1,7,9,-2,4,2,1
1151272,2,1,2,2,0,0,0,0
1151272,3,1,4,2,2,0,2,2
1151647,1,1,2,2,0,0,0,0
1151647,2,1,6,6,0,0,0,0
1152715,1,1,0,0,0,0,0,0
1152715,2,1,0,0,0,0,0,0
1152715,3,1,0,0,0,0,0,0
1152854,1,1,6,6,0,2,2,2
1153183,1,1,2,2,0,0,0,0
1153183,2,1,6,2,4,0,4,3
1153453,1,1,7,7,0,0,0,0
1153453,2,1,12,8,4,0,4,1
1153616,1,1,6,4,2,0,2,2
1153616,2,1,12,10,2,0,2,0
1153616,3,1,0,0,0,0,0,0
1153616,4,1,10,8,2,1,3,0
1154699,1,1,0,0,0,0,0,0
1155258,1,1,6,6,0,0,0,0
1155258,2,1,4,3,1,0,1,0
1155425,1,1,7,7,0,0,0,0
1155425,2,1,5,4,1,2,3,3
1155425,3,1,2,2,0,0,0,0
1155767,1,1,2,2,0,0,0,0
1155767,2,1,10,10,0,4,4,1
1156030,1,1,0,0,0,0,0,0
1156030,2,1,0,0,0,0,0,0
1156555,1,1,2,2,0,0,0,0
1156555,2,1,5,4,1,0,1,0
1157090,1,1,9,7,2,0,2,1
1157763,1,1,5,4,1,0,1,1
1158177,1,1,0,0,0,0,0,0
1158177,2,1,0,0,0,0,0,0
1158177,3,1,0,0,0,0,0,0
1158255,1,1,6,6,0,2,2,1
1158255,2,1,4,6,-2,2,0,0
1158841,1,1,4,5,-1,1,0,0
1158841,2,1,8,6,2,0,2,2
1159400,1,1,6,4,2,0,2,2
1160166,1,1,4,4,0,0,0,0
1160166,2,1,4,2,2,0,2,2
1160166,3,1,0,0,0,0,0,0
1160182,1,1,0,0,0,0,0,0
1160240,1,1,8,8,0,0,0,0
1160240,2,1,9,9,0,0,0,0
1160945,1,1,5,5,0,0,0,0
1160945,2,1,4,5,-1,1,0,0
1161045,1,1,6,7,-1,1,0,0
1161045,2,1,5,7,-2,3,1,0
1161045,3,1,0,0,0,0,0,0
1161710,1,1,0,0,0,0,0,0
1161987,1,1,7,9,-2,2,0,0
1161987,2,1,16,10,6,0,6,0
1162368,1,1,5,5,0,0,0,0
1162368,2,1,3,3,0,0,0,0
1162368,3,1,5,2,3,0,3,1
1162672,1,1,0,0,0,0,0,0
1162672,2,1,0,0,0,0,0,0
