sampno,perno,diarytripsday1,gpstripsday1,gpstripsday2,gpstripsday3,totalgpstrips,geom
1041494,1,0,0,0,0,0,REDACTED
1041494,2,0,0,1,0,1,REDACTED
1041494,3,0,0,4,0,4,REDACTED
1041494,4,2,0,2,0,2,REDACTED
1043613,1,6,6,1,9,16,REDACTED
1043613,2,5,6,1,5,12,REDACTED
1048852,1,18,16,7,13,36,REDACTED
1050385,1,4,3,5,10,18,REDACTED
1050385,2,0,12,5,5,22,REDACTED
1052905,1,9,9,3,1,13,REDACTED
1055449,1,2,5,14,0,19,REDACTED
1055449,2,4,7,4,3,14,REDACTED
1059276,1,9,16,8,10,34,REDACTED
1065589,1,2,3,1,3,7,REDACTED
1065589,2,2,2,4,3,9,REDACTED
1066541,1,5,5,0,0,5,REDACTED
1066541,2,4,8,0,0,8,REDACTED
1119021,1,0,0,3,4,7,REDACTED
1119021,2,0,0,2,4,6,REDACTED
1119035,1,4,6,4,3,13,REDACTED
1119040,1,2,2,4,1,7,REDACTED
1119762,1,5,6,0,0,6,REDACTED
1119993,1,11,12,5,10,27,REDACTED
1119993,2,9,11,5,5,21,REDACTED
1120119,1,6,6,5,9,20,REDACTED
1120231,1,4,5,2,0,7,REDACTED
1120697,1,9,11,4,10,25,REDACTED
1120697,2,0,0,0,0,0,REDACTED
1121125,1,8,8,0,4,12,REDACTED
1121261,1,7,9,5,6,20,REDACTED
1121261,2,3,3,5,5,13,REDACTED
1121263,1,9,10,12,3,25,REDACTED
1121263,2,4,6,6,2,14,REDACTED
1121310,1,5,2,0,0,2,REDACTED
1121310,2,5,5,5,7,17,REDACTED
1121448,1,2,2,5,2,9,REDACTED
1121448,2,5,5,3,5,13,REDACTED
1121448,3,4,3,6,2,11,REDACTED
1121606,1,12,13,7,6,26,REDACTED
1121606,2,6,6,2,6,14,REDACTED
1121694,1,2,6,17,9,32,REDACTED
1121694,2,2,2,11,9,22,REDACTED
1121752,1,7,8,1,0,9,REDACTED
1121752,2,8,15,7,15,37,REDACTED
1123124,1,5,11,11,17,39,REDACTED
1123124,2,3,0,0,0,0,REDACTED
1123124,3,7,18,8,0,26,REDACTED
1123124,4,0,0,0,0,0,REDACTED
1123197,1,6,5,12,16,33,REDACTED
1123197,2,0,10,10,2,22,REDACTED
1123197,3,3,3,0,2,5,REDACTED
1123197,4,3,6,10,2,18,REDACTED
1123587,1,8,5,3,0,8,REDACTED
1123587,2,9,9,4,1,14,REDACTED
1123731,1,5,5,8,12,25,REDACTED
1123731,2,6,0,0,0,0,REDACTED
1123731,3,8,8,0,0,8,REDACTED
1123731,4,5,7,6,7,20,REDACTED
1124202,1,10,12,0,0,12,REDACTED
1124202,2,10,9,0,0,9,REDACTED
1124202,3,8,1,0,0,1,REDACTED
1124315,1,4,4,0,3,7,REDACTED
1124362,1,0,0,0,0,0,REDACTED
1124474,1,3,3,0,0,3,REDACTED
1124474,2,6,5,1,0,6,REDACTED
1124769,1,9,12,14,11,37,REDACTED
1124769,2,0,0,0,0,0,REDACTED
1124769,3,6,10,9,8,27,REDACTED
1125257,2,6,13,11,4,28,REDACTED
1125309,1,2,5,3,16,24,REDACTED
1125309,2,2,35,37,12,84,REDACTED
1125309,3,8,11,13,15,39,REDACTED
1125492,1,5,6,4,11,21,REDACTED
1125492,2,5,2,3,11,16,REDACTED
1125492,3,5,10,2,2,14,REDACTED
1125843,1,4,2,0,5,7,REDACTED
1125843,2,5,4,9,7,20,REDACTED
1125937,1,2,2,8,10,20,REDACTED
1125937,2,2,3,20,6,29,REDACTED
1125964,1,3,4,3,3,10,REDACTED
1126014,1,3,3,9,0,12,REDACTED
1126396,1,0,0,11,10,21,REDACTED
1126853,1,10,10,1,11,22,REDACTED
1126853,2,8,9,1,5,15,REDACTED
1126968,1,0,1,7,6,14,REDACTED
1126968,2,0,0,0,0,0,REDACTED
1126992,1,9,9,6,1,16,REDACTED
1127272,1,2,6,6,5,17,REDACTED
2630646,2,2,3,2,3,8,REDACTED
1127272,2,5,9,11,0,20,REDACTED
1127481,1,5,5,1,0,6,REDACTED
1127481,2,6,19,20,20,59,REDACTED
1127626,1,11,13,17,21,51,REDACTED
1127626,2,13,13,11,13,37,REDACTED
1127843,1,4,4,3,13,20,REDACTED
1127843,2,3,5,6,2,13,REDACTED
1128205,1,6,3,2,4,9,REDACTED
1128205,2,5,7,5,0,12,REDACTED
1128205,3,2,3,5,0,8,REDACTED
1128394,1,9,7,12,0,19,REDACTED
1129139,1,5,6,0,2,8,REDACTED
1129697,1,0,0,7,10,17,REDACTED
1129862,1,3,9,15,5,29,REDACTED
1129862,2,3,5,17,6,28,REDACTED
1129862,3,0,2,0,0,2,REDACTED
1129862,4,0,0,0,0,0,REDACTED
1129862,5,6,3,5,0,8,REDACTED
1130076,1,8,9,8,4,21,REDACTED
1130076,2,3,4,5,2,11,REDACTED
1130977,1,6,7,7,0,14,REDACTED
1131308,1,2,3,0,2,5,REDACTED
1131308,2,3,0,6,6,12,REDACTED
1131308,3,2,4,0,2,6,REDACTED
1131308,4,2,0,0,0,0,REDACTED
1131380,1,9,9,10,9,28,REDACTED
1131380,2,5,1,2,3,6,REDACTED
1131380,3,0,0,0,11,11,REDACTED
1131529,1,10,12,0,8,20,REDACTED
1131529,2,9,10,8,3,21,REDACTED
1131529,3,5,12,10,0,22,REDACTED
1131592,1,0,0,0,0,0,REDACTED
1132119,1,8,7,0,0,7,REDACTED
1132139,1,9,9,10,11,30,REDACTED
1132139,2,4,3,4,6,13,REDACTED
1132210,1,5,4,2,0,6,REDACTED
1132210,2,0,0,0,4,4,REDACTED
1132468,1,7,9,8,4,21,REDACTED
1132468,2,2,21,9,10,40,REDACTED
1132741,1,6,6,8,10,24,REDACTED
1132741,2,4,2,9,6,17,REDACTED
1132759,1,6,9,2,2,13,REDACTED
1132759,2,3,5,16,2,23,REDACTED
1132890,1,6,3,10,7,20,REDACTED
1132890,2,7,5,13,10,28,REDACTED
1133036,1,5,6,1,4,11,REDACTED
1133036,2,12,8,0,2,10,REDACTED
1133154,1,4,2,7,4,13,REDACTED
1133154,2,0,0,3,0,3,REDACTED
1133154,3,6,2,10,3,15,REDACTED
1133154,4,2,0,1,0,1,REDACTED
1133746,1,0,0,9,7,16,REDACTED
1133746,2,2,5,0,0,5,REDACTED
1133746,3,0,0,0,18,18,REDACTED
1133746,4,0,0,4,0,4,REDACTED
1133746,5,1,3,16,6,25,REDACTED
1134113,1,2,2,2,0,4,REDACTED
1134113,2,2,1,8,14,23,REDACTED
1134135,1,2,3,2,4,9,REDACTED
1134135,2,6,7,5,4,16,REDACTED
1134394,1,0,0,0,0,0,REDACTED
2658696,2,0,5,0,9,14,REDACTED
1134860,1,0,0,0,0,0,REDACTED
1134890,1,3,7,6,0,13,REDACTED
1134890,2,3,7,0,9,16,REDACTED
1134890,3,3,8,0,2,10,REDACTED
1134890,4,3,8,5,2,15,REDACTED
1134890,5,2,2,0,9,11,REDACTED
1134890,6,4,2,7,9,18,REDACTED
1134890,7,3,0,7,10,17,REDACTED
1135117,1,4,4,5,0,9,REDACTED
1135117,2,2,4,0,10,14,REDACTED
1135291,1,3,4,4,6,14,REDACTED
1135291,2,3,4,8,9,21,REDACTED
1135478,1,4,6,9,5,20,REDACTED
1135478,2,0,2,1,5,8,REDACTED
1135630,1,6,5,0,0,5,REDACTED
1135876,1,2,2,7,8,17,REDACTED
1135876,2,0,0,0,0,0,REDACTED
1135876,3,3,0,0,0,0,REDACTED
1135906,1,11,1,5,7,13,REDACTED
1135906,2,3,5,10,1,16,REDACTED
1135920,1,0,0,0,0,0,REDACTED
1135920,2,2,2,0,0,2,REDACTED
1135976,1,5,4,0,7,11,REDACTED
1135976,2,2,4,3,0,7,REDACTED
1136102,1,8,8,0,0,8,REDACTED
1136119,1,0,0,0,0,0,REDACTED
1136119,2,4,4,0,0,4,REDACTED
1136119,3,2,5,0,0,5,REDACTED
1136370,1,9,16,4,4,24,REDACTED
1136370,2,7,9,2,5,16,REDACTED
1136407,1,0,0,0,0,0,REDACTED
1136407,2,4,3,8,2,13,REDACTED
1136853,1,0,0,0,0,0,REDACTED
1136853,2,0,0,9,0,9,REDACTED
1136989,1,7,9,7,9,25,REDACTED
1136989,2,7,7,3,6,16,REDACTED
1137373,1,1,1,6,1,8,REDACTED
1137373,2,2,6,3,2,11,REDACTED
1137381,1,0,0,0,3,3,REDACTED
1137381,2,6,8,3,0,11,REDACTED
1137895,1,5,6,8,6,20,REDACTED
1137895,2,6,3,2,0,5,REDACTED
1137895,3,2,3,0,2,5,REDACTED
1138127,1,4,7,6,8,21,REDACTED
1138323,1,2,4,11,0,15,REDACTED
1138323,2,6,5,2,4,11,REDACTED
1138391,1,1,5,4,0,9,REDACTED
1138391,2,0,0,0,0,0,REDACTED
1138686,1,8,9,4,11,24,REDACTED
1138707,1,9,10,9,12,31,REDACTED
1138707,2,4,4,5,8,17,REDACTED
1138707,3,2,3,1,2,6,REDACTED
1138798,1,3,5,0,0,5,REDACTED
1138798,2,0,0,5,2,7,REDACTED
1139208,1,4,4,5,3,12,REDACTED
1139254,1,0,0,0,0,0,REDACTED
1139254,2,0,0,0,0,0,REDACTED
1139514,1,8,12,12,6,30,REDACTED
1139514,2,4,3,0,2,5,REDACTED
1139845,1,3,3,13,10,26,REDACTED
1139845,2,2,4,1,0,5,REDACTED
1139913,1,3,3,0,0,3,REDACTED
1140147,1,5,8,8,0,16,REDACTED
1140200,1,11,5,4,0,9,REDACTED
1140227,1,3,16,15,16,47,REDACTED
1140514,1,8,10,11,1,22,REDACTED
